id;name;city_id
697;Grupo Mendigain;1
698;Grupo Mirador a bilbao;1
699;Grupo Gandasegui remigio mons.;1
700;Grupo MontaÑo;1
701;Grupo Buenavista;1
702;Grupo Ciudad jardin;1
703;Grupo Jardin de zorrotza;1
704;Grupo Artazubekoa;1
705;Grupo Ikastalde;1
706;Grupo Inmaculada;1
707;Gran via Lopez de haro d. diego;1
708;Jardin Alazne lopez etxebarria;1
709;Jardin Floresta la;1
710;Jardin Salazar zubia l.;1
711;Jardin Larrea carmelo;1
712;Jardin Garate venerable herm.;1
713;Jardines Arriaga emiliano de;1
714;Jardines Gernika;1
715;Jardines Intxaurtxueta;1
716;Jardines Iparralde;1
717;Jardines Berge y salcedo;1
718;Jardines Albia;1
719;Jardines Manning mrs. leah;1
720;Jardines Garai;1
721;Jardines Solokoetxe;1
722;Muelle Astillero;1
723;Muelle Campa de los ingleses;1
724;Muelle Ibeni;1
725;Muelle Martzana;1
726;Muelle Sirgueras;1
727;Muelle Churruca y brunet evaristo;1
728;Muelle Merced de la;1
729;Muelle Siervas de jesus;1
730;Muelle Urazurrutia;1
731;Muelle Olabeaga;1
732;Muelle Sota ramon de la;1
733;Monte Kobeta;1
734;Monte Banderas;1
735;Monte Pagasarri;1
736;Plaza Agirre jose maria ertzaina;1
737;Plaza Venezuela;1
738;Plaza Almeria;1
739;Plaza Somosierra alto;1
740;Plaza Ametzola;1
741;Plaza Arbidea;1
742;Plaza Chavarri victor;1
743;Plaza Baroja pio;1
744;Plaza Zabalburu;1
745;Plaza Zumarraga;1
746;Plaza Haro;1
747;Plaza Juan xxiii s.s.;1
748;Plaza Donostia aita;1
749;Plaza Lauaxeta;1
750;Plaza Tres pilares;1
751;Plaza Ugarteko;1
752;Plaza Urizar;1
753;Plaza San pedro;1
754;Plaza San pio x;1
755;Plaza Sancho de guerra santa m. josefa;1
756;Plaza Saralegi;1
757;Plaza San vicente;1
758;Plaza Sarrikoalde;1
759;Plaza Sagrado corazon de jesus;1
760;Plaza Salve la;1
761;Plaza San felicisimo;1
762;Plaza San francisco javier;1
763;Plaza San jose;1
764;Plaza San miguel;1
765;Plaza Guridi musico;1
766;Plaza Negueruela celso;1
767;Plaza Eguillor pedro;1
768;Plaza Careaga placido;1
769;Plaza Errekalde;1
770;Plaza Lasalle santiago reverendo;1
771;Plaza Nueva;1
772;Plaza Matos manuel;1
773;Plaza Meabe tomas;1
774;Plaza Moraza;1
775;Plaza Mozart;1
776;Plaza Mujeres 25 de noviembre de las;1
777;Plaza Landabaso;1
778;Plaza Larrazabal;1
779;Plaza Levante;1
780;Plaza Echevarria luis;1
781;Plaza Makua jose maria;1
782;Plaza San martin de la ascension;1
783;Plaza Aoiz/agoitz;1
784;Plaza Enbeita "urretxindorra" kepa;1
785;Plaza Olabarrieta eugenio;1
786;Plaza Patxi aita;1
787;Plaza Lazurtegui julio;1
788;Plaza Kraus alfredo;1
789;Plaza Ibarrekolanda;1
790;Plaza Torres quevedo ingeniero;1
791;Plaza Insausti "uzturre" jesus;1
792;Plaza Iturriondo;1
793;Plaza Jado;1
794;Plaza Jaro de arana;1
795;Plaza Zuricalday felipa;1
796;Plaza Funicular del;1
797;Plaza Garellano;1
798;Plaza Latorre general;1
799;Plaza Erkoreka ernesto;1
800;Plaza Grua;1
801;Plaza Migoya eliseo;1
802;Plaza Elorrieta;1
803;Plaza Circular;1
804;Plaza Euskadi;1
805;Plaza Echevarria federico;1
806;Plaza Moyua federico;1
807;Plaza Concordia;1
808;Plaza Ensanche;1
809;Plaza Convivencia de la;1
810;Plaza Consulado de bilbao;1
811;Plaza Corazon de maria;1
812;Plaza Fleming doctor;1
813;Plaza Cantera;1
814;Plaza Indautxu;1
815;Plaza Museo;1
816;Plaza Valle del baztan;1
817;Plaza Arenal celestino m. del;1
818;Plaza Chillida eduardo;1
819;Plaza Basurtugorta;1
820;Plaza Bizkaia;1
821;Plaza Echaniz bombero;1
822;Plaza Unamuno miguel;1
823;Plaza Casilla;1
824;Plaza Campuzano emilio;1
825;Plaza Bastida ricardo arqto.;1
826;Plaza Arregui angela;1
827;Plaza Arriaga;1
828;Plaza Arriquibar;1
829;Plaza Azoka;1
830;Plaza Belategi;1
831;Parque Ametzola;1
832;Parque Bidarte;1
833;Parque Encarnacion;1
834;Parque Eskurtze;1
835;Parque Etxebarria;1
836;Parque Europa;1
837;Parque Republica de abando;1
838;Parque San antonio de iturrigorri;1
839;Parque Ibaieder;1
840;Parque Larreagaburu;1
841;Parque Miribilla;1
842;Parque Iturrizar casilda;1
843;Paseo Arenal;1
844;Paseo Campo volantin;1
845;Paseo CaÑos de los;1
846;Paseo Clave jose anselmo;1
847;Paseo Estitxu;1
848;Paseo Raimundo perez lezama;1
849;Paseo Santa monica;1
850;Paseo Moreno "pitxitxi" rafael;1
851;Paseo Uribitarte;1
852;Paseo Victoria de lecea eduardo;1
853;Paseo Lucia yarza;1
854;Puente Arrupe pedro;1
855;Puente Euskalduna;1
856;Puente Frank gehry;1
857;Puente Salve la;1
858;Puente San anton de;1
859;Puente Ayuntamiento del;1
860;Puente Merced de la;1
861;Puente Deustu de;1
862;Puente Ribera de la;1
863;Puente Arenal del;1
864;Puente Zubizuri;1
865;Plazuela Encarnacion;1
866;Plazuela San nicolas;1
867;Plazuela Santiago;1
868;Plazuela Santos juanes;1
869;Plazuela Birjinetxe;1
870;Plazuela Yolanda gonzalez;1
871;Carrera Santiago de;1
872;Calzadas Mallona de;1
873;Ramal Olabeaga;1
874;Ribera Elorrieta;1
875;Ribera Botica vieja;1
876;Ribera Deustu de;1
877;Ribera Zorrotzaurre;1
878;Rampas Uribitarte;1
879;Rotonda Don bosco;1
880;Subida Artxanda;1
881;Subida Buenavista;1
882;Subida Capuchinos de deustu;1
883;Sendero Etxezuri;1
884;Travesia Altube;1
885;Travesia Ciudad jardin;1
886;Travesia Concepcion;1
887;Travesia Dieciseis de agosto;1
888;Travesia Arbolantxa;1
889;Travesia Escuelas de las;1
890;Travesia Uribarri "c";1
891;Travesia Uribitarte;1
892;Travesia Virgen de begoÑa;1
893;Travesia Zabala;1
894;Travesia Ramon y cajal;1
895;Travesia Sagarminaga;1
896;Travesia Tiboli;1
897;Travesia Trauko;1
898;Travesia Uribarri "a";1
899;Travesia Uribarri "b";1
900;Travesia Iturribide;1
901;Travesia Mallona de;1
902;Travesia Masustegi;1
903;Travesia Ollerias altas;1
904;Travesia Ollerias bajas;1
905;Travesia Ugaz parroco;1
906;Travesia Espinos de los;1
907;Travesia Estufa;1
908;Travesia Euskalduna;1
909;Travesia Goya;1
910;Travesia Irala;1
911;Travesia Iturriaga;1
912;Tunel Artxanda-la salve;1
913;Tunel Artxanda-ugasko;1
914;Tunel La salve-ugasko;1
915;Viaducto Miraflores-larreagaburu;1
